Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,Bionic,3:21,9.0,9.0,7.075,Bionic (Deluxe Version),Christina Aguilera
2,Not Myself Tonight,3:06,10.0,10.0,7.075,Bionic (Deluxe Version),Christina Aguilera
3,Woohoo (feat. Nicki Minaj),5:28,8.0,8.0,7.075,Bionic (Deluxe Version),Christina Aguilera
4,Elastic Love,3:33,9.0,9.0,7.075,Bionic (Deluxe Version),Christina Aguilera
5,Desnudate,4:25,7.0,7.0,7.075,Bionic (Deluxe Version),Christina Aguilera
6,Love & Glamour (Intro),0:11,7.0,7.0,7.075,Bionic (Deluxe Version),Christina Aguilera
7,Glam,3:39,7.0,7.0,7.075,Bionic (Deluxe Version),Christina Aguilera
8,Prima Donna,3:25,6.5,6.5,7.075,Bionic (Deluxe Version),Christina Aguilera
9,Morning Dessert (Intro),1:32,7.0,7.0,7.075,Bionic (Deluxe Version),Christina Aguilera
10,Sex for Breakfast,4:49,7.5,7.5,7.075,Bionic (Deluxe Version),Christina Aguilera
11,Lift Me Up,4:07,6.5,6.5,7.075,Bionic (Deluxe Version),Christina Aguilera
12,My Heart (Intro),0:18,7.0,7.0,7.075,Bionic (Deluxe Version),Christina Aguilera
13,All I Need,3:33,4.5,4.5,7.075,Bionic (Deluxe Version),Christina Aguilera
14,I Am,3:52,6.0,6.0,7.075,Bionic (Deluxe Version),Christina Aguilera
15,You Lost Me,4:17,6.0,6.0,7.075,Bionic (Deluxe Version),Christina Aguilera
16,I Hate Boys,2:24,6.5,6.5,7.075,Bionic (Deluxe Version),Christina Aguilera
17,My Girls (feat. Peaches),3:07,7.0,7.0,7.075,Bionic (Deluxe Version),Christina Aguilera
18,Vanity,4:21,5.0,5.0,7.075,Bionic (Deluxe Version),Christina Aguilera
19,Monday Morning,3:54,8.5,8.5,7.075,Bionic (Deluxe Version),Christina Aguilera
20,Bobblehead,3:01,6.5,6.5,7.075,Bionic (Deluxe Version),Christina Aguilera
