Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,No One Dies From Love,3:06,10.0,10.0,8.583333333333334,Dirt Femme,Tove Lo
2,Suburbia,3:19,9.0,9.0,8.583333333333334,Dirt Femme,Tove Lo
3,2 Die 4,3:05,10.0,10.0,8.583333333333334,Dirt Femme,Tove Lo
4,True Romance,4:05,7.0,7.0,8.583333333333334,Dirt Femme,Tove Lo
5,Grapefruit,3:51,8.5,8.5,8.583333333333334,Dirt Femme,Tove Lo
6,Cute & Cruel (feat. First Aid Kit),3:00,7.0,7.0,8.583333333333334,Dirt Femme,Tove Lo
7,Call on Me (with SG Lewis),3:16,10.0,10.0,8.583333333333334,Dirt Femme,Tove Lo
8,Attention Whore (feat. Channel Tres),3:10,7.5,7.5,8.583333333333334,Dirt Femme,Tove Lo
9,Pineapple Slice (with SG Lewis),2:56,9.5,9.5,8.583333333333334,Dirt Femme,Tove Lo
10,I’m to Blame,3:20,9.0,9.0,8.583333333333334,Dirt Femme,Tove Lo
11,Kick In The Head,3:15,7.0,7.0,8.583333333333334,Dirt Femme,Tove Lo
12,How Long,3:18,8.5,8.5,8.583333333333334,Dirt Femme,Tove Lo
