Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,Run Away With Me,4:11,10.0,10.0,8.066666666666666,Emotion,Carly Rae Jepsen
2,Emotion,3:17,7.0,7.0,8.066666666666666,Emotion,Carly Rae Jepsen
3,I Really Like You,3:24,8.5,8.5,8.066666666666666,Emotion,Carly Rae Jepsen
4,Gimmie Love,3:22,10.0,10.0,8.066666666666666,Emotion,Carly Rae Jepsen
5,All That,4:36,7.0,7.0,8.066666666666666,Emotion,Carly Rae Jepsen
6,Boy Problems,3:42,6.5,6.5,8.066666666666666,Emotion,Carly Rae Jepsen
7,Making The Most Of The Night,3:58,8.0,8.0,8.066666666666666,Emotion,Carly Rae Jepsen
8,Your Type,3:19,8.5,8.5,8.066666666666666,Emotion,Carly Rae Jepsen
9,Let’s Get Lost,3:13,7.5,7.5,8.066666666666666,Emotion,Carly Rae Jepsen
10,LA Hallucinations,3:04,9.5,9.5,8.066666666666666,Emotion,Carly Rae Jepsen
11,Warm Blood,4:13,9.0,9.0,8.066666666666666,Emotion,Carly Rae Jepsen
12,When I Needed You,3:41,7.5,7.5,8.066666666666666,Emotion,Carly Rae Jepsen
13,Black Heart,2:56,7.0,7.0,8.066666666666666,Emotion,Carly Rae Jepsen
14,I Didn’t Just Come Here To Dance,3:39,7.5,7.5,8.066666666666666,Emotion,Carly Rae Jepsen
15,Favourite Colour,3:28,7.5,7.5,8.066666666666666,Emotion,Carly Rae Jepsen
