Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,What You Waiting For?,3:41,10.0,10.0,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
2,Rich Girl,3:56,9.5,9.5,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
3,Hollaback Girl,3:19,8.5,8.5,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
4,Cool,3:09,9.5,9.5,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
5,Bubble Pop Electric,3:42,6.0,6.0,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
6,Luxurious,4:24,10.0,10.0,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
7,Harajuku Girls,4:50,6.5,6.5,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
8,Crash,4:06,5.5,5.5,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
9,The Real Thing,4:09,10.0,8.0,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
10,Serious,4:46,7.75,7.75,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
11,Danger Zone,3:36,7.5,7.5,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
12,Long Way To Go,4:34,4.0,4.0,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
13,The Real Thing - Slow Jam Mix,3:35,7.7,7.7,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
14,What You Waiting For? - Jacques Lu Cont's TWD Mix,8:01,7.7,7.7,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
15,What You Waiting For? - Jacques Lu Cont's TWD Dub,8:19,7.7,7.7,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
16,What You Waiting For? - Live,3:41,7.7,7.7,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
17,Harajuku Girls - Live,4:35,7.7,7.7,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
18,Hollaback Girl - Hollatronix Remix by Diplo,2:42,7.7,7.7,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
19,Cool - Photek Remix Main Version,5:47,7.7,7.7,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
20,Hollaback Girl - Dancehollaback Remix by Tony Kanal,6:51,7.7,7.7,7.767499999999998,Love Angel Music Baby (Deluxe Version),Gwen Stefani
