Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,Lucky Star,5:37,8.75,8.0,8.305000000000001,Madonna,Madonna
2,Borderline,5:20,10.0,8.0,8.305000000000001,Madonna,Madonna
3,Burning Up,3:45,8.25,8.25,8.305000000000001,Madonna,Madonna
4,I Know It,3:47,9.0,7.0,8.305000000000001,Madonna,Madonna
5,Holiday,3:51,8.75,8.75,8.305000000000001,Madonna,Madonna
6,Think of Me,4:54,8.75,8.0,8.305000000000001,Madonna,Madonna
7,Physical Attraction,6:39,8.0,7.5,8.305000000000001,Madonna,Madonna
8,Everybody - Original Version,6:02,7.5,8.0,8.305000000000001,Madonna,Madonna
9,"Burning Up - 12"" Mix",5:59,8.4,8.4,8.305000000000001,Madonna,Madonna
10,Lucky Star - New Mix,7:15,8.4,8.4,8.305000000000001,Madonna,Madonna
