Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,Green Light,3:54,8.5,8.5,8.613636363636363,Melodrama,Lorde
2,Sober,3:17,6.5,6.5,8.613636363636363,Melodrama,Lorde
3,Homemade Dynamite,3:09,9.0,9.0,8.613636363636363,Melodrama,Lorde
4,The Louvre,4:31,9.5,9.5,8.613636363636363,Melodrama,Lorde
5,Liability,2:51,9.75,9.75,8.613636363636363,Melodrama,Lorde
6,Hard Feelings/Loveless,6:07,10.0,10.0,8.613636363636363,Melodrama,Lorde
7,Sober II (Melodrama),2:58,8.0,8.0,8.613636363636363,Melodrama,Lorde
8,Writer In The Dark,3:36,7.5,7.5,8.613636363636363,Melodrama,Lorde
9,Supercut,4:37,9.0,9.0,8.613636363636363,Melodrama,Lorde
10,Liability (Reprise),2:16,8.0,8.0,8.613636363636363,Melodrama,Lorde
11,Perfect Places,3:41,9.0,9.0,8.613636363636363,Melodrama,Lorde
