Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,I'M THAT GIRL,3:28,6.0,6.0,8.25,RENAISSANCE,Beyoncé
2,COZY,3:30,7.0,7.0,8.25,RENAISSANCE,Beyoncé
3,ALIEN SUPERSTAR,3:35,9.0,9.0,8.25,RENAISSANCE,Beyoncé
4,CUFF IT,3:45,10.0,10.0,8.25,RENAISSANCE,Beyoncé
5,ENERGY (feat. Beam),1:56,8.0,8.0,8.25,RENAISSANCE,Beyoncé
6,BREAK MY SOUL,4:38,10.0,10.0,8.25,RENAISSANCE,Beyoncé
7,CHURCH GIRL,3:44,8.0,8.0,8.25,RENAISSANCE,Beyoncé
8,PLASTIC OFF THE SOFA,4:14,8.5,8.5,8.25,RENAISSANCE,Beyoncé
9,VIRGO'S GROOVE,6:08,10.0,10.0,8.25,RENAISSANCE,Beyoncé
10,MOVE (feat. Grace Jones & Tems),3:23,6.0,6.0,8.25,RENAISSANCE,Beyoncé
11,HEATED,4:20,7.5,7.5,8.25,RENAISSANCE,Beyoncé
12,THIQUE,4:04,9.5,9.5,8.25,RENAISSANCE,Beyoncé
13,ALL UP IN YOUR MIND,2:49,8.0,8.0,8.25,RENAISSANCE,Beyoncé
14,AMERICA HAS A PROBLEM,3:18,7.5,7.5,8.25,RENAISSANCE,Beyoncé
15,PURE/HONEY,4:48,8.0,8.0,8.25,RENAISSANCE,Beyoncé
16,SUMMER RENAISSANCE,4:33,9.0,9.0,8.25,RENAISSANCE,Beyoncé
