Track Number,Track Name,Duration,Justin's Score,Hector's Score,Average Score,Album,Artist
1,Rae's Theme,0:38,7.0,7.0,7.071428571428571,Rae,Ashe
2,Another Man's Jeans,2:45,7.0,7.0,7.071428571428571,Rae,Ashe
3,Hope You're Not Happy,2:44,7.5,7.5,7.071428571428571,Rae,Ashe
4,Shower With My Clothes On,3:04,7.5,7.5,7.071428571428571,Rae,Ashe
5,omw,2:51,6.5,6.5,7.071428571428571,Rae,Ashe
6,Angry Woman,2:33,8.0,8.0,7.071428571428571,Rae,Ashe
7,Emotional,2:40,5.0,5.0,7.071428571428571,Rae,Ashe
8,Love You Need,3:15,7.0,7.0,7.071428571428571,Rae,Ashe
9,It Can't Be You,3:04,6.5,6.5,7.071428571428571,Rae,Ashe
10,Loose Ends,4:03,6.5,6.5,7.071428571428571,Rae,Ashe
11,San Jose,3:17,8.0,8.0,7.071428571428571,Rae,Ashe
12,Love Is Letting Go (feat. Diane Keaton),2:34,7.5,7.5,7.071428571428571,Rae,Ashe
13,Count On Me,3:39,8.0,8.0,7.071428571428571,Rae,Ashe
14,Fun While It Lasted,2:26,7.0,7.0,7.071428571428571,Rae,Ashe
